[;2025-10-03 17:05:21.612973;['1.8866485', ' -1.0518678', ' -1.1598492', ' 0.64215934', ' -0.00021060735', ' 0.31588805']
[;2025-10-03 17:05:21.720634;['1.8866485', ' -1.0518653', ' -1.1598525', ' 0.64215934', ' -0.00021060735', ' 0.31588805']
[;2025-10-03 17:05:21.860846;['1.8866485', ' -1.0518625', ' -1.1598563', ' 0.64215934', ' -0.00021060735', ' 0.31588805']
[;2025-10-03 17:05:21.973122;['1.8866485', ' -1.05186', ' -1.1598597', ' 0.64215934', ' -0.00021060735', ' 0.31588805']
[;2025-10-03 17:05:22.112904;['1.7353983', ' -0.9805569', ' -1.3168573', ' 0.7260662', ' -0.00038299462', ' 0.16567995']
[;2025-10-03 17:05:22.249176;['1.7353983', ' -0.98055637', ' -1.3168612', ' 0.7260662', ' -0.00038299462', ' 0.16567995']
[;2025-10-03 17:05:22.360944;['1.7353983', ' -0.98055595', ' -1.3168645', ' 0.7260662', ' -0.00038299462', ' 0.16567995']
[;2025-10-03 17:05:22.466778;['1.7353983', ' -0.98055553', ' -1.3168678', ' 0.7260662', ' -0.00038299462', ' 0.16567995']
[;2025-10-03 17:05:22.592956;['1.7769654', ' -0.975288', ' -1.3314619', ' 0.73591363', ' -0.00010255613', ' 0.20589429']
[;2025-10-03 17:05:22.708504;['1.7769654', ' -0.9752872', ' -1.3314649', ' 0.73591363', ' -0.00010255613', ' 0.20589429']
[;2025-10-03 17:05:22.820698;['1.7769654', ' -0.9752868', ' -1.3314682', ' 0.73591363', ' -0.00010255613', ' 0.20589429']
[;2025-10-03 17:05:22.961424;['1.7769654', ' -0.9752863', ' -1.331472', ' 0.73591363', ' -0.00010255613', ' 0.20589429']
[;2025-10-03 17:05:23.096918;['1.8184876', ' -0.97227734', ' -1.3380688', ' 0.739227', ' -0.00085117127', ' 0.24759214']
[;2025-10-03 17:05:23.232892;['1.8184876', ' -0.9722765', ' -1.3380721', ' 0.739227', ' -0.00085117127', ' 0.24759214']
[;2025-10-03 17:05:23.360851;['1.8184876', ' -0.97227556', ' -1.3380759', ' 0.739227', ' -0.00085117127', ' 0.24759214']
[;2025-10-03 17:05:23.470452;['1.8184876', ' -0.9722747', ' -1.3380792', ' 0.739227', ' -0.00085117127', ' 0.24759214']
[;2025-10-03 17:05:23.597133;['1.8592491', ' -0.9723173', ' -1.3374044', ' 0.738001', ' 0.0002707369', ' 0.28874195']
[;2025-10-03 17:05:23.704649;['1.8592491', ' -0.9723192', ' -1.3374085', ' 0.738001', ' 0.0002707369', ' 0.28874195']
[;2025-10-03 17:05:23.833249;['1.8592491', ' -0.97231877', ' -1.3374119', ' 0.738001', ' 0.0002707369', ' 0.28874195']
[;2025-10-03 17:05:23.941616;['1.8592491', ' -0.97231835', ' -1.3374152', ' 0.738001', ' 0.0002707369', ' 0.28874195']
[;2025-10-03 17:05:24.076979;['1.8592491', ' -0.9723179', ' -1.337419', ' 0.738001', ' 0.0002707369', ' 0.28874195']
[;2025-10-03 17:05:24.192950;['1.899625', ' -0.97564346', ' -1.3323057', ' 0.73829365', ' 0.00071560283', ' 0.3285757']
[;2025-10-03 17:05:24.317573;['1.899625', ' -0.97564304', ' -1.332309', ' 0.73829365', ' 0.00071560283', ' 0.3285757']
[;2025-10-03 17:05:24.445115;['1.899625', ' -0.97564256', ' -1.3323128', ' 0.73829365', ' 0.00071560283', ' 0.3285757']
[;2025-10-03 17:05:24.554698;['1.899625', ' -0.97564214', ' -1.3323162', ' 0.73829365', ' 0.00071560283', ' 0.3285757']
[;2025-10-03 17:05:24.681377;['1.7115159', ' -1.5166663', ' -0.24781932', ' 0.19497548', ' 0.00088677026', ' 0.14077179']
[;2025-10-03 17:05:24.813074;['1.7115159', ' -1.516663', ' -0.2478183', ' 0.19497548', ' 0.00088677026', ' 0.14077179']
[;2025-10-03 17:05:24.945145;['1.7115159', ' -1.5166591', ' -0.24781735', ' 0.19497548', ' 0.00088677026', ' 0.14077179']
[;2025-10-03 17:05:25.080988;['1.7115159', ' -1.5166553', ' -0.2478164', ' 0.19497548', ' 0.00088677026', ' 0.14077179']
[;2025-10-03 17:05:25.204748;['1.7473606', ' -1.4940916', ' -0.2960117', ' 0.21878633', ' -0.000528666', ' 0.17664921']
[;2025-10-03 17:05:25.345072;['1.7473606', ' -1.4940878', ' -0.29601097', ' 0.21878633', ' -0.000528666', ' 0.17664921']
[;2025-10-03 17:05:25.471528;['1.7473606', ' -1.494084', ' -0.29601026', ' 0.21878633', ' -0.000528666', ' 0.17664921']
[;2025-10-03 17:05:25.612943;['1.7473606', ' -1.4940802', ' -0.29600954', ' 0.21878633', ' -0.000528666', ' 0.17664921']
[;2025-10-03 17:05:25.744995;['1.7827', ' -1.483759', ' -0.31898433', ' 0.23145509', ' 0.00018763341', ' 0.21187128']
[;2025-10-03 17:05:25.876856;['1.7827', ' -1.4837552', ' -0.3189836', ' 0.23145509', ' 0.00018763341', ' 0.21187128']
[;2025-10-03 17:05:25.987900;['1.7827', ' -1.4837519', ' -0.318983', ' 0.23145509', ' 0.00018763341', ' 0.21187128']
[;2025-10-03 17:05:26.129171;['1.7827', ' -1.4837481', ' -0.31898227', ' 0.23145509', ' 0.00018763341', ' 0.21187128']
[;2025-10-03 17:05:26.260868;['1.8178335', ' -1.4838653', ' -0.3190087', ' 0.23161204', ' 0.0006628573', ' 0.24788824']
[;2025-10-03 17:05:26.392904;['1.8178335', ' -1.4838614', ' -0.319008', ' 0.23161204', ' 0.0006628573', ' 0.24788824']
[;2025-10-03 17:05:26.513089;['1.8178335', ' -1.4838581', ' -0.31900737', ' 0.23161204', ' 0.0006628573', ' 0.24788824']
[;2025-10-03 17:05:26.628923;['1.8178335', ' -1.4838548', ' -0.31900674', ' 0.23161204', ' 0.0006628573', ' 0.24788824']
[;2025-10-03 17:05:26.764887;['1.8528471', ' -1.4934464', ' -0.29898915', ' 0.22186601', ' -0.00015637436', ' 0.28157082']
[;2025-10-03 17:05:26.876963;['1.8528471', ' -1.493443', ' -0.2989885', ' 0.22186601', ' -0.00015637436', ' 0.28157082']
[;2025-10-03 17:05:26.990323;['1.8528471', ' -1.4934397', ' -0.29898787', ' 0.22186601', ' -0.00015637436', ' 0.28157082']
[;2025-10-03 17:05:27.118220;['1.8528471', ' -1.4934359', ' -0.29898715', ' 0.22186601', ' -0.00015637436', ' 0.28157082']
[;2025-10-03 17:05:27.240566;['1.7167789', ' -1.3189441', ' -0.6791889', ' 0.4286884', ' 0.0007543069', ' 0.14651144']
[;2025-10-03 17:05:27.364886;['1.7167789', ' -1.3189428', ' -0.6791885', ' 0.4286884', ' 0.0007543069', ' 0.14651144']
[;2025-10-03 17:05:27.496903;['1.7167789', ' -1.3189399', ' -0.67918754', ' 0.4286884', ' 0.0007543069', ' 0.14651144']
