0,['-4.533579e-12', '1.6633738e-08', '1.2510238e-08', '-1.38312e-13', '3.9489348e-17', '3.3014678e-19'](-0.004936712017667256, 0.2738224753241505, 0.09467755771659962)
162,['1.8996559', '-0.8594162', '-1.3178926', '0.60762876', '0.0005197662', '0.32849368'](-0.0050321007953370404, 0.2437873772138721, 0.09467826059916817)
163,['1.8996559', '-0.85940427', '-1.3178835', '0.60762876', '0.0005197662', '0.32849368'](-0.015053276747881202, 0.2439191949746434, 0.09464328189198506)
164,['1.8996559', '-0.85940343', '-1.3178829', '0.60762876', '0.0005197662', '0.32849368'](-0.015054129948768986, 0.2439217050867374, 0.09464754518041675)
165,['1.8996559', '-0.8594032', '-1.3178824', '0.60762876', '0.0005197662', '0.32849368'](-0.015054156077910592, 0.24392185598150468, 0.09464778367096612)
166,['1.8996559', '-0.85940313', '-1.3178829', '0.60762876', '0.0005197662', '0.32849368'](-0.015054224616125196, 0.24392195237031838, 0.0946479625789397)
167,['1.8996559', '-0.85940313', '-1.3178833', '0.60762876', '0.0005197662', '0.32849368'](-0.015054171101376666, 0.24392187968474463, 0.09464784331498328)
168,['1.8996559', '-0.85940313', '-1.3178836', '0.60762876', '0.0005197662', '0.32849368'](-0.015054179410584083, 0.24392181789126233, 0.09464781349546243)
169,['1.7116331', '-1.4124422', '-0.27032578', '0.108329475', '0.00017026906', '0.14132002'](-0.015054141895343277, 0.24392176456244963, 0.0946477538627782)
170,['1.7115675', '-1.4089049', '-0.27016905', '0.11017047', '0.00061068166', '0.14081597'](0.02505163510642456, 0.2834187195011896, 0.08362093097530901)
171,['1.7115675', '-1.4088519', '-0.2701292', '0.11017047', '0.00061068166', '0.14081597'](0.02493965392648393, 0.2839919992663377, 0.08476345886583776)
172,['1.7115675', '-1.4088482', '-0.27012655', '0.11017047', '0.00061068166', '0.14081597'](0.024938237350752412, 0.28400220846458646, 0.08478503255208392)
